Cantidad,Codigo
4,01001111010010000101011001010000
4,01000010010100110101001101001011
3,010100110101011101011010
3,010000100101011001010001
4,01001111010110010101100001000111
4,01001111010010000101011001010110
4,01000010010000100101000101010001
3,010000100101011001010010
4,01001011010011010100111001001110
4,01001111010010000101100101000111
4,01001010010010100100101101001100
3,010100110101100001000111
3,010100110101100001001001
4,01011001010101100101011101001001
4,01011001010001010101010101001001
4,01000011010101100101011101011001
4,01000111010100100100010001000100
3,010100110101100001001111
3,010000100101011101000001
4,01000111010000010100001001010111
3,010000100101011101000011
4,01001000010101010100011101001010
3,010000100101011101000111
3,010100110101100001010111
4,01000110010011110100000101001101
3,010000100101011101001010
3,010000100101011101001011
4,01000110010011110100000101001110
3,010000100101011101010000
3,010100110101100101000001
3,010100110101100101000011
3,010100110101100101000010
4,01000111010100100100010001010111
3,010000100101011101010011
3,010000100101011101010110
3,010100110101100101001000
4,01001111010110010101100101010010
3,010100110101100101001101
3,010100110101100101001100
4,01011010010010000101011101001011
3,010000100101100001000001
4,01001001010001110100011101010001
4,01001101010000100101001001001100
3,010000100101100001000011
4,01001111010110010101100101010111
3,010100110101100101010010
4,01001000010101010100011001001000
3,010100110101100101010101
3,010000100101100001000101
4,01001000010001000100010001010110
3,010100110101100101010100
4,01010010010000010100000101001001
3,010100110101100101011001
3,010000100101100001001000
3,010100110101100101011000
4,01001101010000100101001001011001
4,01001101010000100101001001010101
3,010100110101101001000100
3,010100110101101001000011
3,010000100101100001010101
4,01001010010010100100101101001000
4,01011000010000100101010001010011
4,01011010010010000101101001010111
3,010000100101100001011001
4,01001000010101010100100101000010
3,010100110101101001001100
4,01000011010101100101101001000001
4,01000111010100100100011001000011
3,010100110101101001010010
3,010100110101101001010110
3,010000100101100101001000
3,010000100101100101000111
3,010100110101101001010111
4,01010100010001110100101001001101
3,010000100101100101001110
3,010000100101100101001111
4,01000010010000100101010001010111
3,010000100101100101010110
3,010000100101100101010111
4,01010100010001110100100001010110
4,01001011010011010100111101010001
3,010000100101101001000001
4,01010011010001000100011001000100
4,01001101010000100101010001000111
3,010000100101101001000100
3,010000100101101001000110
3,010000100101101001001001
4,01001101010000100101010001010100
4,01000010010000100101011001000001
3,010000100101101001001111
4,01001111010010000101101001010011
4,01010010010000010100001101010010
4,01010101010010100100110001010101
3,010000100101101001010011
4,01001001010110000100101101011010
3,010000100101101001010111
3,010000100101101001011001
4,01010011010101010100101001001101
4,01011001010001010101100101010111
4,01011001010001010101100101010001
4,01010011010001000100100101001011
4,01010010010100100100011101011000
4,01001101010100110101100101001100
4,01000001010100000101011101000110
4,01010010010100100100011001001101
4,01001101010000100101011001001001
4,01010011010101010100100101010000
4,01011000010000100101011001000110
4,01011000010000100101011001001000
4,01001100010100000101010101000101
4,01010010010000010100010101010100
4,01000001010100000101011001001000
4,01000010010000100101011101010111
4,01011000010100110101101001000111
4,01001101010000100101100101001011
4,01001101010100110101101001010100
4,01010000010011000100001101010011
4,01001001010001110100111101001000
4,01010001010011110100011001011001
4,01010000010011000100001101011001
4,01000110010011110100011101010111
4,01001001010001110100111101001011
4,01010100010110000101000001001010
4,01010000010011000100010001000110
4,01001010010010100101001001010001
4,01010101010010100101000001000010
4,01000001010100000101100101000001
4,01010010010000010100011101000100
4,01011000010100110101100101000011
4,01010110010011010101001101000001
4,01000111010100100100100101001110
3,010101000100000101000010
4,01001000010001000100101101000011
3,010101000100000101000100
4,01010101010010100101000001001100
3,010101000100000101000110
3,010101000100000101000101
4,01000100010110100100001001000101
4,01010100010001110100110101011000
3,010101000100000101001001
4,01010110010011010101001101010010
3,010101000100000101001011
4,01001111010110100100000101010000
3,010101000100000101001101
4,01010110010011010101011001001000
3,010101000100000101001111
3,010101000100000101010011
4,01000110010011110100100101001000
3,010101000100000101011001
4,01001111010010010100001001010011
4,01001111010010010100001001010010
4,01001100010100000101101001001000
4,01010011010101010100111101000011
4,01000111010000010100101101000100
4,01010011010001000100110101001110
4,01000110010011110100100101011000
3,010101000100001001001001
3,010101000100001001001011
4,01001111010010010100001101000100
4,01001010010010100101001001010010
3,010101000100001001010011
3,010000110100000101000010
4,01010100010110000101000001001101
3,010000110100000101000101
4,01001010010010100101001001010111
3,010101000100001001010110
4,01011010010110100100001001001001
4,01010100010110000101000001010100
4,01001001010001110101000001000101
4,01000111010100100100101101010011
3,010101000100001101000100
3,010101000100001101000011
3,010101000100001101000110
4,01000001010100000101101001010100
4,01001111010010010100001001000111
3,010101000100001101001011
3,010101000100001101010000
3,010101000100001101010010
4,01010011010101010101000001010001
3,010101000100001101010011
3,010101000100001101010110
4,01001110010101110100001101000110
3,010101000100001101011010
4,01010010010100100100110101011001
4,01000111010100100100111001010000
4,01001111010110100100011001000011
3,010101000100010001000001
4,01001000010101010101000101010100
3,010101000100010001000011
4,01010011010101010101000101000100
4,01001011010011010101100101000111
3,010101000100010001000101
4,01001011010011010101100101001110
3,010000110100001001010011
3,010101000100010001000100
4,01001111010110100100011001001110
3,010000110100001001010101
3,010101000100010001001001
3,010000110100001001011000
3,010101000100010001001000
4,01010010010100100100110001010001
3,010000110100001101000010
3,010000110100001101001010
4,01001001010110000101001101010010
4,01000100010010010100010001001011
3,010000110100001101010011
3,010000110100001101010010
3,010101000100010101000011
4,01001001010001110101001001001010
3,010000110100001101010101
3,010101000100010101000101
3,010000110100001101010100
3,010000110100001101010111
4,01011001010101110100001001000011
3,010101000100010101001011
4,01010111010100000101101001010101
4,01001001010110000101011001001010
3,010000110100010001000011
3,010101000100010101010011
3,010101000100010101010110
4,01010110010011010101101001010010
3,010101000100010101011010
4,01000110010011110100110101001110
4,01000111010100100101000001010010
4,01001111010110100100100001001000
4,01001110010001100100001101010110
3,010101000100011001000010
4,01001110010001100100010001000011
4,01010101010010100101011101010101
3,010000110100010001010101
3,010101000100011001000110
4,01011001010001100100001101010101
3,010000110100010001011000
4,01000111010000010100111101001011
4,01001101010101000100001001001110
3,010101000100011001001011
3,010101000100011001001010
4,01000111010100100101000101000010
4,01000110010011110100111001000011
3,010101000100011001010011
3,010101000100011001010010
3,010000110100010101000101
3,010000110100010101000100
3,010101000100011001010111
3,010101000100011001010110
3,010101000100011001011001
3,010101000100011001011000
3,010000110100010101001010
4,01000100010010010100011001001011
4,01010101010010100101011001001010
3,010101000100011101000010
3,010101000100011101000001
4,01010100010001110101001101010111
3,010101000100011101000011
4,01010100010001110101001101010101
3,010000110100010101010101
4,01000011010001100100010001001101
3,010000110100010101010100
3,010000110100010101010111
4,01000010010101000100001001011010
3,010000110100010101010110
3,010000110100010101011000
3,010000110100010101011010
4,01001111010110100100011101011010
3,010101000100011101001111
4,01011010010110100100011001011010
3,010101000100011101010010
3,010000110100011001000001
3,010000110100011001000011
4,01000100010010010100100101000101
4,01010010010000010101000001001000
3,010101000100011101010110
4,01000101010011000100110001001100
4,01001001010110000101100001001110
4,01001110010001100100010101011001
4,01010011010101010101010101000001
3,010000110100011001001011
3,010000110100011001001101
3,010000110100011001010000
3,010000110100011001001111
3,010101000100100001000011
3,010000110100011001010001
4,01001111010010010100100101000101
4,01000100010110100100101101001001
4,01001101010101000100010001001101
4,01011010010110100100101001001001
3,010000110100011001011001
3,010101000100100001001101
4,01000111010000010101000101010000
4,01010011010101010101010101010001
4,01001101010101000100010001010101
4,01001001010001110101011101010111
4,01011010010110100100101001000001
4,01001110010001100100011001001001
3,010101000100100001010101
3,010000110100011101000100
4,01011001010101110100010101001111
3,010000110100011101000111
4,01011000010000110100000101000001
3,010101000100100001011001
3,010000110100011101001000
3,010000110100011101001011
4,01001110010101110100011001001010
4,01001010010010100101100101000001
4,01000101010011000100101101001111
4,01001110010101110100011001001100
3,010000110100011101001110
3,010000110100011101010010
4,01011010010010010100011101010010
3,010101000100100101000101
3,010000110100011101010100
3,010101000100100101001000
4,01000011010001100100011001010000
3,010101000100100101001010
4,01010100010110000101011101000110
3,010101000100100101001101
3,010101000100100101010000
4,01011010010110100100100001011001
3,010101000100100101010010
3,010000110100100001000010
3,010101000100100101010100
3,010101000100100101010011
4,01011000010101000100010101010010
4,01000111010100100101010001001001
3,010000110100100001000111
4,01010011010101010101011001011000
4,01001110010001100100011101001111
3,010101000100100101011010
4,01001100010100010100001101000100
3,010101000100100101011001
3,010000110100100001001100
4,01001111010110100100110001000011
4,01010100010110000101101001000100
4,01000010010101000100011001001010
4,01011000010101000100010101001011
4,01001000010101010101011101010011
4,01010010010000010101001001001101
3,010000110100100001010001
3,010000110100100001010011
3,010101000100101001000110
3,010000110100100001010111
3,010101000100101001001100
4,01010001010011110101000101000100
3,010101000100101001001110
4,01000011010101110100100001011010
4,01001111010010010100101101001101
3,010101000100101001010001
3,010101000100101001010000
3,010101000100101001010011
3,010000110100100101000011
3,010000110100100101000010
3,010000110100100101000110
3,010101000100101001010110
3,010000110100100101001000
4,01001111010010010100100101001111
4,01001101010000110100001101011001
4,01011000010000110100001001011001
4,01010100010001110101011101001111
3,010000110100100101010011
4,01010011010001000101010001001101
3,010000110100100101010010
4,01000100010110100100110001000011
3,010101000100101101000110
4,01001001010110000101100101010111
3,010000110100100101010111
4,01000001010100010100010001000011
3,010000110100100101011001
4,01000100010110100100110001001000
4,01001111010010010100101001000110
3,010000110100100101011000
4,01011001010001100100011001010011
4,01000100010110100100110001001100
4,01010010010100100101001101000011
4,01001111010010010100101001000011
4,01010010010100100101001101010010
4,01001110010001100100011101001000
4,01000110010011110101000101000100
3,010000110100101001000011
3,010000110100101001000110
3,010101000100101101010110
3,010000110100101001000101
4,01001001010110000101101001001000
4,01001101010101000100010101011001
3,010000110100101001001000
4,01000110010011110101001101001100
3,010000110100101001001001
4,01000101010011000101000001010001
3,010101000100110001000001
3,010000110100101001001111
3,010000110100101001010010
4,01011010010010010100110001000100
3,010101000100110001000111
4,01001100010100010100010101001101
3,010000110100101001010101
3,010000110100101001010111
3,010101000100110001001000
3,010000110100101001011010
4,01000100010010010100110101011010
3,010101000100110001001011
3,010101000100110001001010
4,01001110010101110100101101011001
3,010101000100110001001101
3,010000110100101101000001
3,010101000100110001010000
3,010000110100101101000011
4,01011001010101110100101101000010
4,01001101010101000100100001011010
3,010101000100110001010111
4,01000111010000010101010101011010
4,01001011010011100100000101000001
4,01001101010101000100011101000101
4,01011000010101000100011001010101
3,010000110100101101001101
3,010000110100101101001110
4,01000011010101110100110001001111
3,010000110100101101010010
3,010101000100110101000011
4,01001000010101010101100001010100
4,01010010010000010101001101010001
3,010101000100110101000110
3,010101000100110101000111
3,010000110100101101010110
3,010101000100110101001010
4,01010001010011110101001001001010
3,010000110100101101011000
4,01001000010001000101011101001011
3,010101000100110101001100
3,010101000100110101001011
3,010000110100101101011010
3,010101000100110101010000
3,010000110100110001000100
4,01010010010000010101010001000001
3,010101000100110101010101
3,010000110100110001000101
3,010000110100110001001000
3,010101000100110101011010
3,010000110100110001001100
4,01000010010000110100100101000101
4,01001100010100010100011101001000
4,01001000010001000101101001000010
3,010101000100111001000001
4,01010001010011110101010001010111
4,01011000010000110100100001001011
3,010000110100110001001111
3,010000110100110001010010
4,01010010010100100101100001000111
3,010000110100110001010100
3,010101000100111001000110
4,01001111010110100101000001001101
3,010101000100111001001001
3,010101000100111001001000
3,010000110100110001011001
3,010101000100111001001101
4,01011010010010010100111001010111
3,010101000100111001001111
4,01010010010100100101100001001011
3,010101000100111001010001
3,010101000100111001010000
4,01000100010010010101000001000101
4,01011001010101110100110101000001
3,010000110100110101000100
3,010101000100111001011000
3,010000110100110101001101
4,01001111010110100100111101001010
4,01001000010001000101100101000001
3,010000110100110101010001
3,010101000100111101000100
4,01010010010100100101011101000101
4,01000100010010010100111001010011
4,01010001010011110101010001000011
3,010000110100110101010100
4,01010110010011100100001001001111
4,01000011010001100100110001010111
4,01011000010000110100011101010100
4,01001101010101000100100101011000
3,010101000100111101001101
4,01010111010100010100011001000111
3,010101000100111101001111
3,010101000100111101010010
4,01001101010000110100100001000101
4,01010011010101010101101001001000
3,010000110100111001000101
3,010101000100111101010101
4,01000010010101000100101001011000
4,01010101010010110100001001001110
3,010101000101000001000011
4,01011000010000110100101001001101
4,01010001010011110101011101000111
3,010101000101000001000111
4,01001110010001100100111001000100
3,010000110100111001010110
4,01011010010010010101000001000010
3,010101000101000001000110
4,01011010010110100101000101010111
3,010101000101000001001000
3,010101000101000001001010
4,01000001010100010100100101001000
3,010101000101000001001111
3,010101000101000001010001
4,01001110010001100100111001000111
3,010101000101000001010000
3,010000110100111101000010
4,01001011010011100100011101000011
3,010000110100111101001000
4,01001111010010010101000101001111
4,01001001010110010100001001001110
3,010000110100111101001011
3,010000110100111101010001
3,010101000101000101000010
4,01001100010100010100100001001001
3,010101000101000101000001
4,01010000010011000101001001011000
3,010000110100111101010101
3,010101000101000101001000
4,01001111010010010101000001000100
3,010101000101000101000111
3,010101000101000101001010
3,010101000101000101001001
3,010000110100111101011000
4,01011000010101000100101001010101
4,01010101010010110100000101010011
4,01010000010011000101001101001110
4,01000100010110100101001001001111
4,01010010010100100101100101001001
3,010000110101000001000011
4,01000011010101110101000001000010
3,010000110101000001001000
3,010101000101000101011001
3,010000110101000001001011
4,01000001010100010100101101011001
3,010101000101001001000001
4,01001001010010000100001001000011
3,010000110101000001001111
3,010101000101001001000100
3,010000110101000001011000
3,010000110101000001010111
4,01010010010000010101101001010101
4,01001011010011100100100001010001
4,01000001010100010100101101001001
3,010101000101001001001110
3,010101000101001001010001
3,010000110101000101000001
4,01000010010101000100111001001000
4,01001110010001100101000001001000
4,01011000010101000100111001001110
4,01010001010011110101100101001100
3,010101000101001001010100
4,01001101010000110100110101010011
3,010000110101000101000111
3,010101000101001001010111
4,01010000010011000101011001010110
4,01000010010101000100111001000010
3,010101000101001001010110
4,01011000010000110100110001010011
4,01010110010011100100100001000100
4,01001101010101000100111101000001
3,010000110101000101001010
3,010101000101001001011010
4,01000011010001100100111101001100
3,010000110101000101001110
4,01000010010000110100111001001010
3,010000110101000101010000
3,010101000101001101000100
3,010000110101000101010010
3,010101000101001101000011
3,010101000101001101000110
3,010000110101000101010100
3,010101000101001101000111
3,010101000101001101001011
4,01001011010011100100011101010000
3,010000110101001001000010
3,010101000101001101010011
3,010101000101001101010110
4,01001001010110010100001101001000
3,010101000101001101010101
3,010101000101001101011000
4,01001111010110100101010001000110
4,01000010010000110100110101010010
3,010101000101001101011010
4,01001111010010010101001001010110
3,010000110101001001001100
4,01011010010110100101001101001000
3,010101000101010001000001
3,010101000101010001000010
3,010000110101001001010011
4,01010100010110010100010101001110
4,01010100010110010100010101001101
4,01010011010101100100001001001011
3,010101000101010001001100
3,010000110101001101000001
3,010000110101001101000011
3,010000110101001101000010
4,01001000010001010100000101011001
3,010000110101001101000100
4,01011000010000110100111101000011
3,010101000101010001010110
4,01001010010010110100100001000001
3,010000110101001101001000
4,01011000010101000101000001000111
3,010000110101001101001010
3,010101000101010101000010
3,010000110101001101010101
3,010101000101010101000110
3,010101000101010101001001
3,010101000101010101001100
4,01001011010011100100100101010010
3,010000110101010001000110
4,01000010010000110100111101010110
4,01001110010101110101001101001000
3,010000110101010001001011
4,01001010010010110100011101000101
3,010101000101011001000001
3,010000110101010001001111
4,01001111010010010101011101000010
4,01011010010110100101100001000011
3,010000110101010001010001
4,01000011010001100101010001001110
3,010101000101011001000101
4,01010010010100110100000101000101
4,01001100010100010100111101010001
3,010101000101011001000110
3,010000110101010001011000
3,010101000101011001001001
3,010101000101011001001011
4,01011001010101110101010001010111
3,010101000101011001001101
4,01010100010110010100011101001100
4,01010010010100110100000101001011
3,010101000101011001010000
4,01010101010010110100100101001000
3,010000110101010101000100
3,010101000101011001010100
3,010101000101011001010110
4,01011010010010010101011101000101
3,010000110101010101001101
3,010000110101010101001110
3,010101000101011101000010
3,010000110101010101010000
3,010101000101011101000100
4,01011010010110100101011101000001
3,010000110101010101010011
4,01001111010010010101011001000001
3,010101000101011101000101
4,01010100010110010100011001000100
3,010101000101011101001000
4,01010011010101100100001101000010
3,010000110101010101011000
4,01011000010000110100111101010010
3,010101000101011101001011
4,01010111010100010100110101010101
4,01000010010000110101001001000110
4,01001001010110010100011101001001
3,010000110101011001000100
3,010000110101011001000011
3,010000110101011001000110
4,01000100010010010101011101001010
4,01011000010101000101000101000111
3,010000110101011001001101
3,010101000101100001000001
4,01001111010010010101011001010101
3,010000110101011001010001
3,010000110101011001010100
4,01010101010010110100101001011000
3,010000110101011001010101
4,01000100010010010101100101011000
3,010000110101011001010111
3,010101000101100001001011
3,010000110101011001011010
3,010101000101100001001010
3,010101000101100001001101
4,01010011010001010100010101000001
3,010101000101100001001100
4,01001000010101100100011101000101
4,01001010010010110100101101010111
4,01010111010100010101000101010011
3,010101000101100001011000
3,010101000101100001011010
3,010000110101011101001010
4,01001000010001010100011001000010
3,010000110101011101010000
3,010101000101100101000001
3,010000110101011101010010
3,010000110101011101010101
3,010101000101100101000101
3,010101000101100101001000
3,010101000101100101001100
4,01000100010010010101100001011001
3,010000110101011101011010
3,010101000101100101001110
4,01000001010100010101001001011001
4,01011001010001100101010001001001
4,01010010010100110100001001001110
3,010000110101100001000010
3,010000110101100001000001
4,01001000010101100100011001000111
3,010101000101100101010001
3,010000110101100001000011
3,010000110101100001001000
4,01010110010011100100110101001111
4,01010010010100110100001001010101
4,01000111010100110100001101001010
3,010000110101100001001100
3,010000110101100001001011
3,010000110101100001001110
3,010000110101100001001101
4,01000001010100010101001001001001
3,010101000101101001000001
3,010000110101100001001111
